probe	HUGO.gene.symbol
Contig45532_RC	Contig45532_RC	NA
Contig45535_RC	Contig45535_RC	NA
Contig45537_RC	Contig45537_RC	TMC5
Contig45540_RC	Contig45540_RC	GPR114
Contig45543_RC	Contig45543_RC	MARCH9
Contig45544_RC	Contig45544_RC	NA
Contig45547_RC	Contig45547_RC	NA
Contig45549_RC	Contig45549_RC	NA
Contig45550_RC	Contig45550_RC	HINT3
Contig45556_RC	Contig45556_RC	NA
Contig45565_RC	Contig45565_RC	STOX1
Contig45569_RC	Contig45569_RC	CDC14B
Contig45574	Contig45574	NA
Contig45586_RC	Contig45586_RC	GLIS3
Contig45588_RC	Contig45588_RC	BAIAP2L2
Contig45591_RC	Contig45591_RC	NA
Contig45600	Contig45600	NA
Contig45604_RC	Contig45604_RC	NA
Contig45605_RC	Contig45605_RC	FA2H
Contig45610_RC	Contig45610_RC	NA
Contig45611_RC	Contig45611_RC	CHST13
Contig45613_RC	Contig45613_RC	TMEFF1
Contig45616	Contig45616	NA
Contig45618_RC	Contig45618_RC	NA
Contig45624_RC	Contig45624_RC	NA
Contig45627_RC	Contig45627_RC	NA
Contig45632_RC	Contig45632_RC	EGFLAM
Contig45633_RC	Contig45633_RC	TMEM175
Contig45634_RC	Contig45634_RC	NA
Contig45642_RC	Contig45642_RC	NA
Contig45645_RC	Contig45645_RC	GREM2
Contig45649_RC	Contig45649_RC	NA
Contig45652_RC	Contig45652_RC	ALG2
Contig45657	Contig45657	SERBP1
Contig45670_RC	Contig45670_RC	C4orf31
Contig45673_RC	Contig45673_RC	THAP2
Contig45680_RC	Contig45680_RC	NA
Contig45685_RC	Contig45685_RC	NA
Contig45703_RC	Contig45703_RC	NA
Contig45706_RC	Contig45706_RC	SGOL2
Contig45708_RC	Contig45708_RC	C1orf113
Contig45716_RC	Contig45716_RC	NA
Contig45717_RC	Contig45717_RC	MAP9
Contig45719_RC	Contig45719_RC	C20orf100
Contig45724_RC	Contig45724_RC	NA
Contig45725_RC	Contig45725_RC	CHTF18
Contig45728_RC	Contig45728_RC	ZNF653
Contig45729_RC	Contig45729_RC	ADD2
Contig45730_RC	Contig45730_RC	NA
Contig45734_RC	Contig45734_RC	NA
Contig45741_RC	Contig45741_RC	NA
Contig45742	Contig45742	NA
Contig45749_RC	Contig45749_RC	NA
Contig4574_RC	Contig4574_RC	ALKBH7
Contig45762_RC	Contig45762_RC	NA
Contig45772_RC	Contig45772_RC	NA
Contig45774_RC	Contig45774_RC	NA
Contig45782_RC	Contig45782_RC	NA
Contig45784_RC	Contig45784_RC	NA
Contig45786_RC	Contig45786_RC	NA
Contig45790_RC	Contig45790_RC	NA
Contig45792_RC	Contig45792_RC	NA
Contig45799	Contig45799	NA
Contig45800_RC	Contig45800_RC	NA
Contig45806_RC	Contig45806_RC	C12orf34
Contig45814_RC	Contig45814_RC	NA
Contig45816_RC	Contig45816_RC	C13orf3
Contig45818_RC	Contig45818_RC	NA
Contig45821_RC	Contig45821_RC	ADCY4
Contig45823_RC	Contig45823_RC	NA
Contig45834_RC	Contig45834_RC	NA
Contig45835_RC	Contig45835_RC	NA
Contig45841_RC	Contig45841_RC	NA
Contig45847_RC	Contig45847_RC	ZMIZ2
Contig45856	Contig45856	RCSD1
Contig45859_RC	Contig45859_RC	CAV2
Contig45862_RC	Contig45862_RC	SLTM
Contig45870_RC	Contig45870_RC	NA
Contig45875_RC	Contig45875_RC	SYNPR
Contig45879_RC	Contig45879_RC	NA
Contig45881_RC	Contig45881_RC	NA
Contig45889_RC	Contig45889_RC	NA
Contig45891_RC	Contig45891_RC	NA
Contig45901_RC	Contig45901_RC	NA
Contig45908_RC	Contig45908_RC	C1orf173
Contig45911_RC	Contig45911_RC	NA
Contig45914_RC	Contig45914_RC	NA
Contig45917_RC	Contig45917_RC	FOXL2
Contig45919_RC	Contig45919_RC	NA
Contig45924_RC	Contig45924_RC	NA
Contig45926_RC	Contig45926_RC	AEBP2
Contig45930_RC	Contig45930_RC	NA
Contig45931_RC	Contig45931_RC	NA
Contig45932_RC	Contig45932_RC	NA
Contig45934	Contig45934	NA
Contig45943	Contig45943	NA
Contig45944_RC	Contig45944_RC	NA
Contig45945_RC	Contig45945_RC	NA
Contig4595	Contig4595	NA
Contig45953_RC	Contig45953_RC	NA
Contig45955_RC	Contig45955_RC	PHF17
Contig45964_RC	Contig45964_RC	NTRK2
Contig45969	Contig45969	ZFP90
Contig45970_RC	Contig45970_RC	NA
Contig45973_RC	Contig45973_RC	NA
Contig45974_RC	Contig45974_RC	NA
Contig45975_RC	Contig45975_RC	NA
Contig45978_RC	Contig45978_RC	NA
Contig45980_RC	Contig45980_RC	NA
Contig45981_RC	Contig45981_RC	NA
Contig45982_RC	Contig45982_RC	NA
Contig45984	Contig45984	NA
Contig45995_RC	Contig45995_RC	NA
Contig46000	Contig46000	C10orf78
Contig46002_RC	Contig46002_RC	NA
Contig46005_RC	Contig46005_RC	ST8SIA3
Contig46007	Contig46007	KCNA1
Contig46015_RC	Contig46015_RC	NA
Contig46023	Contig46023	TMEM37
Contig46037_RC	Contig46037_RC	NA
Contig46039_RC	Contig46039_RC	SOX7
Contig46044_RC	Contig46044_RC	NA
Contig46047_RC	Contig46047_RC	NA
Contig46050	Contig46050	NA
Contig46052_RC	Contig46052_RC	NA
Contig46056_RC	Contig46056_RC	ACOT4
Contig46062_RC	Contig46062_RC	TRPV4
Contig46063_RC	Contig46063_RC	NA
Contig46070_RC	Contig46070_RC	ZDHHC22
Contig46075_RC	Contig46075_RC	MAP9
Contig46082_RC	Contig46082_RC	KRT25
Contig46084_RC	Contig46084_RC	C1orf116
Contig46086_RC	Contig46086_RC	NA
Contig46089_RC	Contig46089_RC	NA
Contig46097_RC	Contig46097_RC	PGM2L1
Contig46104	Contig46104	NA
Contig46106	Contig46106	NA
Contig46128_RC	Contig46128_RC	NA
Contig46134_RC	Contig46134_RC	NA
Contig46136_RC	Contig46136_RC	C1orf168
Contig46142_RC	Contig46142_RC	NA
Contig46144_RC	Contig46144_RC	NA
Contig46154_RC	Contig46154_RC	ART4
Contig46155_RC	Contig46155_RC	NA
Contig46158_RC	Contig46158_RC	NA
Contig46164_RC	Contig46164_RC	CYYR1
Contig46172_RC	Contig46172_RC	FAM78A
Contig46176_RC	Contig46176_RC	FBXW7
Contig46178_RC	Contig46178_RC	NA
Contig46181_RC	Contig46181_RC	NA
Contig46182_RC	Contig46182_RC	NA
Contig46183_RC	Contig46183_RC	NA
Contig46187_RC	Contig46187_RC	ADAMTS14
Contig461_RC	Contig461_RC	CC2D1B
Contig46201	Contig46201	CAMK2N2
Contig46202	Contig46202	MXD1
Contig46204_RC	Contig46204_RC	PPM1E
Contig46217_RC	Contig46217_RC	NA
Contig46218_RC	Contig46218_RC	DIAPH3
Contig46223_RC	Contig46223_RC	RTN4RL1
Contig46224_RC	Contig46224_RC	NA
Contig46228_RC	Contig46228_RC	BACH2
Contig46232	Contig46232	NA
Contig46235_RC	Contig46235_RC	NA
Contig46241_RC	Contig46241_RC	PURB
Contig46242_RC	Contig46242_RC	NA
Contig46243_RC	Contig46243_RC	NA
Contig46244_RC	Contig46244_RC	NA
Contig46247_RC	Contig46247_RC	NA
Contig46254_RC	Contig46254_RC	BAG1
Contig46255_RC	Contig46255_RC	NA
Contig46257	Contig46257	NA
Contig46258_RC	Contig46258_RC	TMEM161B
Contig46262_RC	Contig46262_RC	NA
Contig46265_RC	Contig46265_RC	ALG9
Contig46266_RC	Contig46266_RC	NA
Contig46276_RC	Contig46276_RC	SCRT1
Contig46280_RC	Contig46280_RC	NA
Contig46285_RC	Contig46285_RC	NA
Contig46288_RC	Contig46288_RC	F2RL1
Contig46289_RC	Contig46289_RC	ANKRD57
Contig46294_RC	Contig46294_RC	NA
Contig46301_RC	Contig46301_RC	C6orf148
Contig46304_RC	Contig46304_RC	NA
Contig46306_RC	Contig46306_RC	NA
Contig46307_RC	Contig46307_RC	TRAPPC6B
Contig46308	Contig46308	L3MBTL3
Contig46316_RC	Contig46316_RC	NA
Contig46319	Contig46319	C1orf149
Contig46324_RC	Contig46324_RC	TULP3
Contig46327_RC	Contig46327_RC	NA
Contig46329_RC	Contig46329_RC	NA
Contig46341_RC	Contig46341_RC	NA
Contig46343_RC	Contig46343_RC	NA
Contig46351_RC	Contig46351_RC	NA
Contig46352_RC	Contig46352_RC	NA
Contig46362_RC	Contig46362_RC	NA
Contig46366_RC	Contig46366_RC	NA
Contig46367_RC	Contig46367_RC	NA
Contig46370_RC	Contig46370_RC	NA
Contig46375_RC	Contig46375_RC	ZNF706
Contig46376_RC	Contig46376_RC	NA
Contig46377	Contig46377	NA
Contig46392_RC	Contig46392_RC	SENP7
Contig46399_RC	Contig46399_RC	NA
Contig46406_RC	Contig46406_RC	NA
Contig46409_RC	Contig46409_RC	NA
Contig46411_RC	Contig46411_RC	NA
Contig46414_RC	Contig46414_RC	NA
Contig46416_RC	Contig46416_RC	NA
Contig46419_RC	Contig46419_RC	NA
Contig46421_RC	Contig46421_RC	NA
Contig46435_RC	Contig46435_RC	NA
Contig46437_RC	Contig46437_RC	NA
Contig46443_RC	Contig46443_RC	SLC26A11
Contig46446_RC	Contig46446_RC	RAD18
Contig46452_RC	Contig46452_RC	ZBTB41
Contig46463_RC	Contig46463_RC	FZD6
Contig46464_RC	Contig46464_RC	NA
Contig46467	Contig46467	LGI4
Contig46468	Contig46468	NA
Contig46470	Contig46470	NA
Contig46472_RC	Contig46472_RC	DCP2
Contig46477_RC	Contig46477_RC	GDAP1L1
Contig46480_RC	Contig46480_RC	NA
Contig46482_RC	Contig46482_RC	NA
Contig46501_RC	Contig46501_RC	NA
Contig46506_RC	Contig46506_RC	NA
Contig46508_RC	Contig46508_RC	TMTC1
Contig46516_RC	Contig46516_RC	NA
Contig46517_RC	Contig46517_RC	NA
Contig46523_RC	Contig46523_RC	NA
Contig46525_RC	Contig46525_RC	CSPP1
Contig46536_RC	Contig46536_RC	LGI3
Contig46537_RC	Contig46537_RC	ITGA8
Contig46548_RC	Contig46548_RC	NA
Contig46551_RC	Contig46551_RC	NA
Contig46553_RC	Contig46553_RC	NA
Contig46558_RC	Contig46558_RC	NA
Contig46559_RC	Contig46559_RC	IYD
Contig46563_RC	Contig46563_RC	NA
Contig46564_RC	Contig46564_RC	ST8SIA4
Contig46567	Contig46567	NA
Contig46578_RC	Contig46578_RC	NA
Contig46581_RC	Contig46581_RC	NA
Contig46583_RC	Contig46583_RC	NA
Contig46584_RC	Contig46584_RC	NA
Contig46586	Contig46586	NA
Contig46589_RC	Contig46589_RC	NA
Contig46590	Contig46590	NA
Contig46591_RC	Contig46591_RC	COX19
Contig46595_RC	Contig46595_RC	NA
Contig46596_RC	Contig46596_RC	NA
Contig46597_RC	Contig46597_RC	NA
Contig46598_RC	Contig46598_RC	NA
Contig46601_RC	Contig46601_RC	NA
Contig46602_RC	Contig46602_RC	NA
Contig46608_RC	Contig46608_RC	NA
Contig46609_RC	Contig46609_RC	APOOL
Contig46614_RC	Contig46614_RC	CPXM2
Contig46615_RC	Contig46615_RC	NA
Contig46616_RC	Contig46616_RC	FAM46B
Contig46625_RC	Contig46625_RC	C3orf22
Contig46631_RC	Contig46631_RC	NA
Contig46632_RC	Contig46632_RC	NA
Contig46634	Contig46634	NA
Contig46635_RC	Contig46635_RC	OTUB2
Contig46644_RC	Contig46644_RC	ZNF659
Contig46646_RC	Contig46646_RC	TIAL1
Contig46649_RC	Contig46649_RC	NA
Contig46653_RC	Contig46653_RC	NA
Contig46657_RC	Contig46657_RC	NA
Contig46667_RC	Contig46667_RC	STK33
Contig46668_RC	Contig46668_RC	PAG1
Contig46677_RC	Contig46677_RC	NA
Contig46680_RC	Contig46680_RC	NA
Contig46697_RC	Contig46697_RC	NA
Contig466_RC	Contig466_RC	DTNBP1
Contig46700_RC	Contig46700_RC	SPRR4
Contig46701_RC	Contig46701_RC	NA
Contig46702_RC	Contig46702_RC	NA
Contig46709_RC	Contig46709_RC	C20orf23
Contig46732_RC	Contig46732_RC	NA
Contig46733	Contig46733	RANBP17
Contig46742_RC	Contig46742_RC	HOXB9
Contig46747_RC	Contig46747_RC	NA
Contig46755_RC	Contig46755_RC	NA
Contig46756_RC	Contig46756_RC	SYN2
Contig46765_RC	Contig46765_RC	C4orf35
Contig46771_RC	Contig46771_RC	NA
Contig46773_RC	Contig46773_RC	ELAVL1
Contig46777_RC	Contig46777_RC	NA
Contig46778_RC	Contig46778_RC	NA
Contig46782_RC	Contig46782_RC	NA
Contig46787_RC	Contig46787_RC	NA
Contig46789_RC	Contig46789_RC	NA
Contig46796_RC	Contig46796_RC	DSN1
Contig46802_RC	Contig46802_RC	CD163L1
Contig46806_RC	Contig46806_RC	NA
Contig46807_RC	Contig46807_RC	NA
Contig46816_RC	Contig46816_RC	GFRA3
Contig46817_RC	Contig46817_RC	CAB39L
Contig4681_RC	Contig4681_RC	HPX
Contig46823_RC	Contig46823_RC	CMYA3
Contig46830	Contig46830	IGF2BP1
Contig46836_RC	Contig46836_RC	UNC93A
Contig46838_RC	Contig46838_RC	ZNF307
Contig46845_RC	Contig46845_RC	NA
Contig46850_RC	Contig46850_RC	C6orf194
Contig46851_RC	Contig46851_RC	NA
Contig46853	Contig46853	NA
Contig46859_RC	Contig46859_RC	NA
Contig46860_RC	Contig46860_RC	PTCD3
Contig46864_RC	Contig46864_RC	NA
Contig46868_RC	Contig46868_RC	NA
Contig46870_RC	Contig46870_RC	NA
Contig46881_RC	Contig46881_RC	NA
Contig46890_RC	Contig46890_RC	PLEKHF2
Contig46891_RC	Contig46891_RC	C1orf90
Contig46895	Contig46895	NA
Contig46900_RC	Contig46900_RC	NA
Contig46902_RC	Contig46902_RC	NA
Contig46906_RC	Contig46906_RC	NA
Contig46907	Contig46907	NA
Contig46909_RC	Contig46909_RC	NA
Contig46910_RC	Contig46910_RC	NA
Contig46911_RC	Contig46911_RC	NA
Contig46913_RC	Contig46913_RC	NA
Contig46918_RC	Contig46918_RC	NA
Contig46922_RC	Contig46922_RC	NA
Contig46925	Contig46925	NA
Contig46927_RC	Contig46927_RC	NUS1
Contig46934_RC	Contig46934_RC	NA
Contig46936_RC	Contig46936_RC	NA
Contig46937_RC	Contig46937_RC	CLIC6
Contig46942_RC	Contig46942_RC	NA
Contig46943_RC	Contig46943_RC	GPR115
Contig46950_RC	Contig46950_RC	C16orf69
Contig46954_RC	Contig46954_RC	PNMA3
Contig46960_RC	Contig46960_RC	FIGNL1
Contig46975_RC	Contig46975_RC	NA
Contig46983_RC	Contig46983_RC	LYPD4
Contig46989_RC	Contig46989_RC	NA
Contig46991_RC	Contig46991_RC	NA
Contig46998_RC	Contig46998_RC	NA
Contig46999_RC	Contig46999_RC	NA
Contig46_RC	Contig46_RC	FNDC5
Contig47004_RC	Contig47004_RC	NA
Contig47005_RC	Contig47005_RC	NA
Contig47014_RC	Contig47014_RC	C18orf19
Contig47015_RC	Contig47015_RC	NA
Contig47016_RC	Contig47016_RC	NA
Contig47025_RC	Contig47025_RC	NA
Contig47031_RC	Contig47031_RC	NA
Contig47033_RC	Contig47033_RC	NA
Contig47038_RC	Contig47038_RC	DACT3
Contig47042	Contig47042	AHI1
Contig47043_RC	Contig47043_RC	METTL4
Contig47045_RC	Contig47045_RC	REEP6
Contig47046_RC	Contig47046_RC	NA
Contig47065_RC	Contig47065_RC	NA
Contig47067_RC	Contig47067_RC	WWC2
Contig47071_RC	Contig47071_RC	NA
Contig47077	Contig47077	NA
Contig47078_RC	Contig47078_RC	NA
Contig47081_RC	Contig47081_RC	NA
Contig47084_RC	Contig47084_RC	NA
Contig47095_RC	Contig47095_RC	NA
Contig47096_RC	Contig47096_RC	PFKFB4
Contig47102_RC	Contig47102_RC	NA
Contig47106_RC	Contig47106_RC	SAMSN1
Contig47128_RC	Contig47128_RC	NA
Contig47129	Contig47129	NA
Contig47130_RC	Contig47130_RC	NA
Contig47132_RC	Contig47132_RC	CCDC62
Contig47134_RC	Contig47134_RC	NA
Contig47136_RC	Contig47136_RC	RAPH1
Contig47146_RC	Contig47146_RC	NA
Contig47149_RC	Contig47149_RC	C13orf28
Contig47150_RC	Contig47150_RC	NA
Contig47164_RC	Contig47164_RC	NA
Contig47166_RC	Contig47166_RC	NA
Contig47171_RC	Contig47171_RC	NA
Contig47178_RC	Contig47178_RC	NA
Contig47179_RC	Contig47179_RC	VTI1A
Contig47184_RC	Contig47184_RC	NA
Contig47196_RC	Contig47196_RC	NA
Contig47197_RC	Contig47197_RC	NA
Contig47203_RC	Contig47203_RC	NA
Contig47220	Contig47220	CA13
Contig47221_RC	Contig47221_RC	NA
Contig47222_RC	Contig47222_RC	NA
Contig47225_RC	Contig47225_RC	NA
Contig47227_RC	Contig47227_RC	C6orf113
Contig47230_RC	Contig47230_RC	CST9L
Contig47232_RC	Contig47232_RC	NA
Contig47235_RC	Contig47235_RC	NA
Contig47247_RC	Contig47247_RC	NA
Contig47252_RC	Contig47252_RC	NA
Contig47261	Contig47261	NA
Contig47262_RC	Contig47262_RC	NA
Contig47267_RC	Contig47267_RC	NA
Contig47272_RC	Contig47272_RC	NA
Contig47282_RC	Contig47282_RC	NA
Contig47291_RC	Contig47291_RC	DYNLRB2
Contig47294_RC	Contig47294_RC	EPHA4
Contig47296_RC	Contig47296_RC	NA
Contig47297_RC	Contig47297_RC	NA
Contig47300_RC	Contig47300_RC	NA
Contig47301_RC	Contig47301_RC	NA
Contig47302_RC	Contig47302_RC	BBS10
Contig47304_RC	Contig47304_RC	L3MBTL3
Contig47308_RC	Contig47308_RC	NA
Contig47311_RC	Contig47311_RC	C11orf74
Contig47316	Contig47316	NA
Contig47317_RC	Contig47317_RC	NA
Contig47319_RC	Contig47319_RC	NA
Contig47321_RC	Contig47321_RC	NA
Contig47326	Contig47326	NA
Contig47337_RC	Contig47337_RC	PPP1R12B
Contig47339_RC	Contig47339_RC	NA
Contig47364_RC	Contig47364_RC	NA
Contig47368_RC	Contig47368_RC	TMEM169
Contig47369_RC	Contig47369_RC	RNF128
Contig47372_RC	Contig47372_RC	FCHO2
Contig47375_RC	Contig47375_RC	NA
Contig47377_RC	Contig47377_RC	GPR146
Contig47381_RC	Contig47381_RC	NA
Contig47384_RC	Contig47384_RC	NA
Contig47387_RC	Contig47387_RC	NA
Contig47393_RC	Contig47393_RC	VANGL1
Contig47405_RC	Contig47405_RC	NA
Contig47406_RC	Contig47406_RC	SEZ6
Contig47411_RC	Contig47411_RC	TRPV1
Contig47416_RC	Contig47416_RC	NA
Contig47429_RC	Contig47429_RC	NA
Contig47432_RC	Contig47432_RC	NA
Contig47439_RC	Contig47439_RC	KNDC1
Contig47441_RC	Contig47441_RC	NA
Contig47446_RC	Contig47446_RC	CCDC42
Contig47453_RC	Contig47453_RC	NA
Contig47456_RC	Contig47456_RC	NA
Contig47457_RC	Contig47457_RC	C1orf51
Contig47462_RC	Contig47462_RC	NA
Contig47463_RC	Contig47463_RC	NA
Contig47464_RC	Contig47464_RC	ZNF335
Contig47465_RC	Contig47465_RC	NA
Contig47470_RC	Contig47470_RC	NA
Contig47478_RC	Contig47478_RC	TEX101
Contig47483_RC	Contig47483_RC	NA
Contig47493_RC	Contig47493_RC	NA
Contig47495_RC	Contig47495_RC	NA
Contig47498_RC	Contig47498_RC	TMPRSS5
Contig47512_RC	Contig47512_RC	NA
Contig47519_RC	Contig47519_RC	NA
Contig47531	Contig47531	C10orf35
Contig47539_RC	Contig47539_RC	NA
Contig47543_RC	Contig47543_RC	NA
Contig47544_RC	Contig47544_RC	NA
Contig47552_RC	Contig47552_RC	NA
Contig47555_RC	Contig47555_RC	NA
Contig47563_RC	Contig47563_RC	NA
Contig47565_RC	Contig47565_RC	LIN28B
Contig47568_RC	Contig47568_RC	NA
Contig47578_RC	Contig47578_RC	FAHD1
Contig47582_RC	Contig47582_RC	DENND1C
Contig475_RC	Contig475_RC	NA
Contig47602_RC	Contig47602_RC	NA
Contig47605_RC	Contig47605_RC	NA
Contig47624_RC	Contig47624_RC	NA
Contig47629_RC	Contig47629_RC	NA
Contig47635_RC	Contig47635_RC	B4GALNT3
Contig47645_RC	Contig47645_RC	LOH12CR1
Contig47648_RC	Contig47648_RC	PPHLN1
Contig47655_RC	Contig47655_RC	NA
Contig47657	Contig47657	NA
Contig47667_RC	Contig47667_RC	NA
Contig47668_RC	Contig47668_RC	C10orf83
Contig47673_RC	Contig47673_RC	NA
Contig47676_RC	Contig47676_RC	NA
Contig47680_RC	Contig47680_RC	CBX4
Contig47683_RC	Contig47683_RC	LMLN
Contig47708_RC	Contig47708_RC	NA
Contig47710_RC	Contig47710_RC	HYLS1
Contig47732_RC	Contig47732_RC	EPS8L3
Contig47736_RC	Contig47736_RC	NA
Contig47737_RC	Contig47737_RC	NA
Contig47741_RC	Contig47741_RC	DPP6
Contig47750_RC	Contig47750_RC	NA
Contig47751_RC	Contig47751_RC	PRSS35
Contig47765_RC	Contig47765_RC	NA
Contig47767_RC	Contig47767_RC	NA
Contig47770_RC	Contig47770_RC	LY6G6C
Contig47774_RC	Contig47774_RC	ZBTB7C
Contig47779_RC	Contig47779_RC	NA
Contig47781_RC	Contig47781_RC	NA
Contig47784_RC	Contig47784_RC	NA
Contig47787_RC	Contig47787_RC	NA
Contig47793_RC	Contig47793_RC	E2F8
Contig47796_RC	Contig47796_RC	NA
Contig47801_RC	Contig47801_RC	NA
Contig47810_RC	Contig47810_RC	IMMP2L
Contig47814_RC	Contig47814_RC	PRTFDC1
Contig4781_RC	Contig4781_RC	MAP1LC3B
Contig47822	Contig47822	NA
Contig47832_RC	Contig47832_RC	COL11A1
Contig47835_RC	Contig47835_RC	TMEM88
Contig47837_RC	Contig47837_RC	NA
Contig47841_RC	Contig47841_RC	ST6GALNAC3
Contig47846_RC	Contig47846_RC	ACVR2A
Contig47849_RC	Contig47849_RC	PLEKHA7
Contig47862	Contig47862	NA
Contig47863_RC	Contig47863_RC	LPHN1
Contig47865	Contig47865	NA
Contig47879_RC	Contig47879_RC	NA
Contig47882_RC	Contig47882_RC	ARID2
Contig47885_RC	Contig47885_RC	NA
Contig47886_RC	Contig47886_RC	FAM14A
Contig47888_RC	Contig47888_RC	NA
Contig47889_RC	Contig47889_RC	COPS7B
Contig47890_RC	Contig47890_RC	NA
Contig47892_RC	Contig47892_RC	NA
Contig47895_RC	Contig47895_RC	NA
Contig47900_RC	Contig47900_RC	VEPH1
Contig47904_RC	Contig47904_RC	NA
Contig47907_RC	Contig47907_RC	SPOCK3
Contig47912_RC	Contig47912_RC	NA
Contig47919_RC	Contig47919_RC	RND2
Contig47922_RC	Contig47922_RC	NA
Contig47926_RC	Contig47926_RC	GMCL1
Contig47930_RC	Contig47930_RC	ALS2CR13
Contig47936_RC	Contig47936_RC	NA
Contig47940_RC	Contig47940_RC	NA
Contig47942_RC	Contig47942_RC	NA
Contig47944	Contig47944	NA
Contig47954_RC	Contig47954_RC	KLHL28
Contig47955_RC	Contig47955_RC	NA
Contig47956_RC	Contig47956_RC	NA
Contig47958_RC	Contig47958_RC	TRIM4
Contig47960_RC	Contig47960_RC	C12orf26
Contig47961_RC	Contig47961_RC	NA
Contig47966_RC	Contig47966_RC	NA
Contig47969_RC	Contig47969_RC	SLC25A18
Contig47970	Contig47970	PHACTR4
Contig47975_RC	Contig47975_RC	NA
Contig47982_RC	Contig47982_RC	SBK1
Contig47985_RC	Contig47985_RC	NA
Contig47987_RC	Contig47987_RC	NA
Contig47991_RC	Contig47991_RC	NFASC
Contig47994_RC	Contig47994_RC	NA
Contig48000_RC	Contig48000_RC	ABCA5
Contig48003_RC	Contig48003_RC	LRRC44
Contig48004_RC	Contig48004_RC	UBXD3
Contig48006_RC	Contig48006_RC	WDR54
Contig48007_RC	Contig48007_RC	NA
Contig48008_RC	Contig48008_RC	RHBDD1
Contig48011_RC	Contig48011_RC	ZNF397
Contig48014_RC	Contig48014_RC	NA
Contig48017_RC	Contig48017_RC	NA
Contig48019_RC	Contig48019_RC	PDLIM5
Contig48021_RC	Contig48021_RC	NA
Contig48026	Contig48026	NA
Contig48032_RC	Contig48032_RC	NA
Contig48043_RC	Contig48043_RC	ABCC5
Contig48052_RC	Contig48052_RC	GSG1
Contig48057_RC	Contig48057_RC	FAM102B
Contig48059	Contig48059	TTC31
Contig48065_RC	Contig48065_RC	NA
Contig48076_RC	Contig48076_RC	NA
Contig48084_RC	Contig48084_RC	ZNF513
Contig48087	Contig48087	NA
Contig48097_RC	Contig48097_RC	NA
Contig48100_RC	Contig48100_RC	NA
Contig48106_RC	Contig48106_RC	FAM57B
Contig48114_RC	Contig48114_RC	TBC1D20
Contig48118_RC	Contig48118_RC	C20orf141
Contig48124_RC	Contig48124_RC	NA
Contig48126_RC	Contig48126_RC	NA
Contig48142_RC	Contig48142_RC	RPUSD2
Contig48144_RC	Contig48144_RC	C6orf70
Contig48146_RC	Contig48146_RC	NA
Contig48156_RC	Contig48156_RC	PCSK9
Contig48166_RC	Contig48166_RC	ZNF766
Contig48167_RC	Contig48167_RC	WWC2
Contig48168_RC	Contig48168_RC	C9orf164
Contig48170_RC	Contig48170_RC	NA
Contig48177_RC	Contig48177_RC	LIG4
Contig48179_RC	Contig48179_RC	C2orf34
Contig48185_RC	Contig48185_RC	NA
Contig48195_RC	Contig48195_RC	NA
Contig48204_RC	Contig48204_RC	PANK1
Contig48208_RC	Contig48208_RC	NA
Contig48209_RC	Contig48209_RC	NA
Contig48211_RC	Contig48211_RC	NA
Contig48215_RC	Contig48215_RC	NA
Contig48217_RC	Contig48217_RC	MAP6
Contig48218_RC	Contig48218_RC	NA
Contig48220_RC	Contig48220_RC	NA
Contig48249_RC	Contig48249_RC	NA
Contig48256_RC	Contig48256_RC	NA
Contig48259_RC	Contig48259_RC	NA
Contig4825_RC	Contig4825_RC	TMBIM1
Contig48260_RC	Contig48260_RC	NA
Contig48263_RC	Contig48263_RC	C14orf143
Contig48267_RC	Contig48267_RC	KBTBD6
Contig48268_RC	Contig48268_RC	NA
Contig48270_RC	Contig48270_RC	NA
Contig48275_RC	Contig48275_RC	DUSP18
Contig48277_RC	Contig48277_RC	WDSUB1
Contig48278_RC	Contig48278_RC	NA
Contig48279_RC	Contig48279_RC	NA
Contig48286_RC	Contig48286_RC	NA
Contig48290_RC	Contig48290_RC	NA
Contig48292_RC	Contig48292_RC	NA
Contig48294_RC	Contig48294_RC	WDR33
Contig48295_RC	Contig48295_RC	NA
Contig48318_RC	Contig48318_RC	NA
Contig48322_RC	Contig48322_RC	TRIOBP
Contig48328_RC	Contig48328_RC	ZNF533
Contig48341_RC	Contig48341_RC	WDR89
Contig48350_RC	Contig48350_RC	C9orf24
Contig48352_RC	Contig48352_RC	NA
Contig48353_RC	Contig48353_RC	CENPK
Contig48355_RC	Contig48355_RC	NA
Contig48358_RC	Contig48358_RC	NA
Contig48360	Contig48360	CXorf39
Contig48371	Contig48371	NA
Contig48375_RC	Contig48375_RC	NA
Contig48376_RC	Contig48376_RC	USP2
Contig48378_RC	Contig48378_RC	NA
Contig48380_RC	Contig48380_RC	NA
Contig48392_RC	Contig48392_RC	SAMD4B
Contig48393_RC	Contig48393_RC	TNRC6B
Contig48400_RC	Contig48400_RC	NA
Contig48402_RC	Contig48402_RC	NA
Contig48403_RC	Contig48403_RC	NA
Contig48406_RC	Contig48406_RC	PARP11
Contig48408_RC	Contig48408_RC	C22orf23
Contig48422_RC	Contig48422_RC	NA
Contig48425_RC	Contig48425_RC	NA
Contig48430_RC	Contig48430_RC	NA
Contig48436_RC	Contig48436_RC	INTS5
Contig48437	Contig48437	ZNF764
Contig48466_RC	Contig48466_RC	NA
Contig48471_RC	Contig48471_RC	NA
Contig48472_RC	Contig48472_RC	MXD3
